hjd,camera,filter,mag,mag err,flux (mJy),flux err
2457617.98559,bc,V,13.519,0.02187,15.005,0.302
2458257.03631,bc,V,13.535,0.02189,14.784,0.298
2458003.8539,bc,V,13.956,0.02359,10.037,0.218
2457950.0379,bc,V,13.492,0.02185,15.382,0.309
2457198.01883,bc,V,13.547,0.0219,14.629,0.295
2457133.07367,bc,V,13.521,0.02187,14.98,0.301
2458290.89629,bc,V,13.528,0.02188,14.89,0.3
2457982.91641,bc,V,13.534,0.02189,14.805,0.298
2457831.15161,bc,V,13.488,0.02185,15.438,0.31
2457637.94151,bc,V,13.503,0.02186,15.226,0.306
2457574.00823,bc,V,13.49,0.02185,15.417,0.31
2457193.96687,bc,V,13.513,0.02187,15.086,0.303
2457890.07215,bc,V,13.505,0.02186,15.202,0.306
2457270.94145,bc,V,13.503,0.02186,15.229,0.306
2458316.03088,bc,V,13.502,0.02186,15.249,0.307
2457696.77229,bc,V,13.515,0.02187,15.065,0.303
2457676.76978,bc,V,13.488,0.02185,15.449,0.311
2457227.9423,bc,V,13.512,0.02187,15.107,0.304
2457964.86383,bc,V,13.819,0.02276,11.38,0.238
2457680.81724,bc,V,13.509,0.02186,15.152,0.305
2457667.8249,bc,V,13.56,0.02192,14.453,0.291
2457595.94062,bc,V,13.508,0.02186,15.154,0.305
2457274.91308,bc,V,13.571,0.02193,14.308,0.289
2458008.8583,bc,V,13.564,0.02192,14.404,0.291
2457905.9529,bc,V,13.546,0.0219,14.643,0.295
2457630.83785,bc,V,13.558,0.02191,14.478,0.292
2458022.72071,bc,V,13.494,0.02185,15.359,0.309
2458258.02609,bc,V,13.491,0.02185,15.402,0.31
2457693.78131,bc,V,13.514,0.02187,15.077,0.303
2458372.92544,bc,V,13.514,0.02187,15.075,0.303
2458334.0296,bc,V,13.509,0.02186,15.143,0.305
2457577.98914,bc,V,13.544,0.0219,14.668,0.295
2457110.13179,bc,V,13.477,0.02185,15.596,0.313
2457650.8515,bc,V,13.549,0.0219,14.6,0.294
2457673.82537,bc,V,13.513,0.02187,15.097,0.304
2458001.90488,bc,V,13.486,0.02185,15.473,0.311
2458037.76515,bc,V,13.896,0.02319,10.61,0.226
2457722.70823,bc,V,13.55,0.0219,14.586,0.294
2457704.7013,bc,V,13.497,0.02186,15.313,0.308
2457937.86627,bc,V,13.497,0.02186,15.32,0.308
2457550.05294,bc,V,13.536,0.02189,14.773,0.297
2457233.80619,bc,V,13.527,0.02188,14.904,0.3
